울산동물병원,3.5,6건,"울산 중구 학성공원13길 45, (지번) 학성동 192-1",052-297-0979,0
이승진동물의료센터,1.9,13건,"울산 남구 삼산로 94, (지번) 달동 1400-5",052-258-2516,0
에스동물메디컬센터 울산점,4.6,39건,"울산 남구 삼산로 160, (지번) 달동 116-2",052-707-2475,0
원헬스동물의료센터,,,"울산 남구 북부순환도로 23 1층, (지번) 무거동 228-1",052-247-7975,0
주동물병원,5.0,1건,"울산 남구 돋질로 385-1, (지번) 삼산동 180-33",052-268-8275,0
사랑동물병원,3.7,3건,"울산 남구 중앙로 165-1, (지번) 신정동 657-1",052-273-0075,0
잘하는동물메디컬센터,4.0,4건,"울산 북구 박상진11로 1 인터메디타워 2층, (지번) 송정동 1235-4",052-713-7582,0
강일웅동물병원,5.0,4건,"울산 남구 돋질로 239, (지번) 달동 1322-15",052-257-5887,0
손대하동물병원,5.0,1건,"울산 동구 일산진6길 22, (지번) 일산동 948-3",052-234-7576,0
태화동물병원,3.0,4건,"울산 중구 태화로 160 1층, (지번) 태화동 428-2",052-211-2399,0
초록동물병원,5.0,2건,울산 울주군 삼남읍 교동리 1499-151,052-262-6114,0
리틀쥬동물의료원,5.0,2건,"울산 남구 봉월로 104 세아빌딩, (지번) 신정동 576-18",052-268-8884,0
착한동물병원 울산점,0.0,0건,"울산 북구 매곡산업로 177 102호, (지번) 매곡동 230",052-291-1190,0
닥터강 동물병원,5.0,2건,"울산 중구 화진길 13-2 1층, (지번) 태화동 37-7",052-246-3123,0
BB동물병원,3.8,10건,"울산 울주군 범서읍 점촌6길 5, (지번) 범서읍 구영리 386-1",052-211-7599,0
아너스 동물병원,0.0,0건,"울산 남구 화합로 197, (지번) 삼산동 1550-12",,0
울산학성동물매개치료센터,0.0,0건,"울산 중구 중앙길 71, (지번) 성남동 182-4",052-244-6545,0
라온동물메디컬센터,1.0,3건,"울산 중구 번영로 524, (지번) 반구동 26-6",052-286-5050,0
이솝동물병원,5.0,1건,"울산 북구 매곡로 65 S프라자 2층 201호, (지번) 신천동 158-12",052-295-8875,0
범서조은동물병원,3.5,2건,"울산 울주군 범서읍 천상중앙길 49, (지번) 범서읍 천상리 639-4",052-248-7582,0
방어진 행복한동물병원,0.0,0건,"울산 동구 방어진순환도로 548, (지번) 방어동 73-1",052-235-7585,0
호계동물병원,1.0,1건,"울산 북구 호계로 365-1 1층, (지번) 신천동 431-12",052-265-8275,0
제갈견동물병원,5.0,1건,"울산 중구 명륜로 64-1, (지번) 우정동 279-2",052-212-2475,0
엔젤인독스,0.0,0건,"울산 남구 삼산로 104-1, (지번) 달동 956",052-269-2299,0
척척동물의료센터,5.0,4건,"울산 동구 방어진순환도로 652 테라스파크 A동 3층 301호, (지번) 일산동 945",052-232-7575,0
서울한빛동물병원,0.0,0건,"울산 북구 신답로 48 프리지아상가 1층, (지번) 상안동 357",052-297-7582,0
남창미르동물병원,0.0,0건,"울산 울주군 온양읍 대운길 12, (지번) 온양읍 대안리 567-4",052-238-7511,0
리버동물의료센터,5.0,1건,"울산 중구 태화로 250, (지번) 태화동 123-2",052-713-7575,0
지엘동물병원,5.0,6건,"울산 북구 화동로 11 124동 1층 113,114호, (지번) 화봉동 1463",052-288-9191,0
온양발리동물병원,0.0,0건,"울산 울주군 온양읍 보곡3길 40 서희상가 105호, (지번) 온양읍 발리 1311",052-239-7585,0
튼튼동물병원,5.0,1건,"울산 남구 북부순환도로 29, (지번) 무거동 1599",052-247-7975,0
동울산동물병원,0.0,0건,"울산 동구 방어진순환도로 737, (지번) 전하2동 668-17",052-235-0458,0
옥동정철동물병원,0.0,0건,"울산 남구 문수로 358, (지번) 옥동 249-3",052-271-7582,0
메이동물병원,5.0,1건,"울산 중구 번영로 581, (지번) 남외동 214-1",052-211-3375,0
와우동물병원,0.0,0건,"울산 울주군 언양읍 읍성로 135, (지번) 언양읍 동부리 370-15",052-225-0075,0
MK동물병원,0.0,0건,"울산 울주군 온산읍 덕신로 250, (지번) 온산읍 덕신리 561",052-237-2475,0
쿨펫동물병원 학산점,0.0,0건,"울산 중구 학산로 5 1층, (지번) 학산동 47-15",052-281-3567,0
메디펫우리동물병원,0.0,0건,"울산 남구 번영로 147-1 1층, (지번) 달동 589-1",052-257-7582,0
우정동물병원,0.0,0건,"울산 중구 종가3길 24 1층, (지번) 유곡동 475-10",052-281-2294,0
미래펫동물병원,0.0,0건,"울산 남구 중앙로 218-1, (지번) 신정3동 186-9",052-273-5911,0
권오성동물병원,5.0,1건,"울산 남구 중앙로 284 1층, (지번) 신정동 479-10",052-268-2212,0
산타클라라 동물병원,0.0,0건,"울산 중구 다운로 1, (지번) 다운동 552-2",052-244-4296,0
도그앤피플동물병원,3.7,3건,"울산 남구 대학로 127 2층, (지번) 무거동 855-7",052-247-6656,0
남산동물병원,3.0,2건,"울산 남구 북부순환도로 40, (지번) 무거동 1434-3",052-224-8275,0
이루아동물병원,5.0,1건,"울산 남구 대학로 27 1층 101~103호, (지번) 무거동 584-17",052-925-1125,0
언양동물병원,0.0,0건,"울산 울주군 언양읍 헌양길 100, (지번) 언양읍 서부리 39-5",,0
스마일동물병원,1.0,3건,"울산 남구 대학로 112, (지번) 무거동 617-3",052-277-0075,0
배박사동물병원,0.0,0건,"울산 북구 신답로 40, (지번) 상안동 357-2",052-281-0906,0
현대동물병원,0.0,0건,"울산 남구 수암로149번길 2, (지번) 야음동 694-19",052-257-3669,0
이박사동물병원,5.0,3건,"울산 중구 중앙길 75, (지번) 성남동 182-8",052-211-0023,0
통일동물병원,0.0,0건,"울산 울주군 청량읍 덕하장터길 7, (지번) 청량읍 상남리 577-1",,0
숲동물병원,0.0,0건,"울산 남구 돋질로 273 1층, (지번) 삼산동 1472-2",052-977-2405,0
일산동물의료센타,0.0,0건,"울산 동구 방어진순환도로 645, (지번) 일산동 574-33",052-252-5878,0
진동물병원,1.0,1건,"울산 남구 돋질로 343, (지번) 삼산동 1542-20",052-903-8181,0
강남동물병원,1.0,1건,"울산 남구 돋질로 234, (지번) 달동 1328-3",052-271-0075,0
대공원동물병원,5.0,2건,"울산 남구 대공원로 241 상가 207호, (지번) 신정동 1873",052-258-2520,0
전영호동물병원,0.0,0건,"울산 중구 구교로 163, (지번) 반구2동 106-6",052-292-4112,0
문수동물병원,0.0,0건,"울산 남구 대학로 164 상가 102호, (지번) 무거동 461",,0
수정동물병원,0.0,0건,"울산 남구 중앙로28번길 2, (지번) 야음동 717",,0
서울산동물병원,0.0,0건,"울산 울주군 삼남읍 중남로 72, (지번) 삼남읍 신화리 1481-29",,0
더조은동물병원,0.0,0건,"울산 울주군 범서읍 천상중앙길 47 1층, (지번) 범서읍 천상리 639-6",,0
쿨펫동물병원,5.0,1건,"울산 남구 수암로 148 홈플러스 3층, (지번) 야음동 789-91",052-227-8275,0
쿨펫동물병원 진장점,0.0,0건,"울산 북구 진장유통로 64 롯데마트 진장점 4층, (지번) 진장동 283-1",052-288-7572,0
학성동물병원 교육센터,0.0,0건,"울산 중구 중앙길 71, (지번) 성남동 182-4",052-244-6545,0
신정동물종합병원,0.0,0건,"울산 남구 대공원로 241, (지번) 신정동 1873",052-258-2520,0
쿨펫동물병원 홈플러스북구점,1.0,1건,"울산 북구 신답로 26 홈플러스 2층, (지번) 상안동 322-9",052-286-3567,0
위즈펫동물병원,5.0,1건,"울산 남구 삼산로 74, (지번) 달동 830-1",052-268-3567,0
펫프렌즈동물병원 울산점,4.0,1건,"울산 남구 남중로 48, (지번) 삼산동 1646",052-273-0975,0
공중전화 동울산동물병원 (구)해동약국,0.0,0건,"울산 동구 방어진순환도로 735, (지번) 전하동 668-10",,0
공중전화 MK동물병원앞 (구)그린마트365,0.0,0건,울산 울주군 온산읍 덕신리 1200,,0
